C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
14679|HD 214810A                         |*  |22 40 47.965668 -03 33 15.37413        |340.199856950 -03.554270592        |     ~| 6.98 | 6.46 |     ~|     ~|~                    |   4 |   0
14680|* k Sco                            |s*b|17 04 49.3525354906 -34 07 22.541655837|256.2056355645440 -34.1229282377326| 4.44 | 5.13 | 4.87 | 4.59 | 4.42 |B2Iab                | 147 |   0
14681|* omi Cap B                        |PM*|20 29 52.5937812156 -18 35 10.895942305|307.4691407550649 -18.5863599839736|     ~| 6.96 | 6.74 |     ~|     ~|A7/8V                |  48 |   0
14682|* 52 Ori B                         |*  |05 48 00.187485 +06 27 14.02667        |087.000781187 +06.453896297        |     ~| 6.18 | 6.01 |     ~|     ~|~                    |   1 |   0
14683|HD 98096A                          |PM*|11 16 27.8248548457 -45 52 48.034867343|169.1159368951904 -45.8800096853731|     ~| 7.29 | 6.90 | 7.29 |     ~|~                    |   2 |   0
14684|* eps Vir                          |PM*|13 02 10.5978496 +10 57 32.941443      |195.5441577067 +10.9591504008      | 4.45 | 3.71 | 2.79 | 2.16 | 1.71 |G8III-IIIb           | 532 |   0
14685|HD 156115                          |V* |17 16 15.8883568918 -15 13 25.374431201|259.0662014870493 -15.2237151197780|     ~| 8.44 | 6.58 |     ~|     ~|K5III                |  22 |   0
14686|HD 136402                          |*  |15 17 17.7070406214 +62 46 15.724279125|229.3237793359224 +62.7710345219792|     ~| 7.77 | 6.82 |     ~|     ~|K0                   |  10 |   0
14687|HD 80441                           |** |09 20 59.37178 +38 11 17.7050          |140.24738243 +38.18825139          |     ~| 6.54 | 6.16 |     ~|     ~|F3Vs+F3Vs            | 104 |   0
14688|HD 188229                          |*  |20 00 56.0021153016 -74 00 45.233040889|300.2333421470902 -74.0125647335804|     ~| 7.618| 6.577|     ~|     ~|K1III                |  17 |   0
14689|HD 179497                          |V* |19 13 15.5228827 -12 16 57.300201      |288.3146786779 -12.2825833892      |     ~| 6.95 | 5.51 |     ~|     ~|K3III                |  24 |   0
14690|HD 83434                           |*  |09 38 54.6620153013 +20 17 51.205056219|144.7277583970888 +20.2975569600609|     ~| 6.71 | 6.77 |     ~|     ~|B9                   |  19 |   0
14691|HD 162555                          |PM*|17 50 22.8922474863 +29 19 19.706877302|267.5953843645261 +29.3221407992506|     ~| 6.588| 5.517|     ~|     ~|K1III                |  52 |   0
14692|[SC96] GC 197                      |UV |17 50 24.0 -34 22 00                   |267.6000 -34.3667                  |     ~|     ~| 6.87 |     ~|     ~|~                    |   1 |   0
14693|HD 144149                          |V* |16 03 49.8342775576 +17 48 09.976986940|240.9576428231566 +17.8027713852612| 9.230| 7.960| 6.750|     ~|     ~|K0                   |  11 |   0
14694|* 135 Tau                          |*  |05 50 28.9086203469 +14 18 20.184276578|087.6204525847787 +14.3056067434938|     ~| 6.53 | 5.52 |     ~|     ~|G9III:               |  35 |   0
14695|HD 165767                          |*  |18 08 54.5123584999 -29 59 34.591517959|272.2271348270830 -29.9929420883220|     ~| 8.15 | 6.99 |     ~|     ~|A3(III)              |   9 |   0
14696|HD 64740                           |*  |07 53 03.6353775 -49 36 46.952967      |118.2651474063 -49.6130424908      | 3.48 | 4.40 | 4.63 | 4.76 | 4.97 |B2V                  | 196 |   0
14697|HD 218395A                         |*  |23 07 27.728 +32 49 31.25              |346.865533 +32.825347              |     ~| 6.43 | 6.34 | 7.16 |     ~|A3Vn                 |   3 |   0
14698|* 4 Sco                            |*  |15 55 30.0740212188 -26 15 57.541857532|238.8753084217450 -26.2659838493144|     ~| 5.753| 5.625|     ~|     ~|A3V                  |  28 |   0
14699|* 139 Tau                          |Em*|05 57 59.6563212 +25 57 14.079839      |089.4985680050 +25.9539110664      | 3.82 | 4.76 | 4.82 | 4.76 | 4.87 |B0/1II/III           | 271 |   0
14700|* 27 Lyn                           |PM*|08 08 27.4463215 +51 30 24.005467      |122.1143596729 +51.5066681853      |     ~| 4.819| 4.797|     ~| 4.71 |A2V                  |  74 |   0
14701|* lam Sgr                          |PM*|18 27 58.2407185 -25 25 18.114589      |276.9926696604 -25.4216984969      | 4.75 | 3.85 | 2.81 | 2.06 | 1.50 |K1IIIb               | 266 |   0
14702|* 23 Ari                           |PM*|02 19 08.7203015557 +19 41 15.746472439|034.7863345898154 +19.6877073534554| 7.400| 7.370| 6.830|     ~|     ~|F8                   |  30 |   0
14703|HD 52018                           |*  |06 58 35.8983203688 -25 24 50.944786089|104.6495763348698 -25.4141513294692|     ~| 5.420| 5.583|     ~|     ~|B2V                  |  51 |   0
14704|HD 179143                          |SB*|19 09 46.0762712872 +37 47 39.130658687|287.4419844636967 +37.7942029607465|     ~| 7.186| 6.804|     ~|     ~|Am                   |  38 |   0
14705|HD 153368                          |HB*|17 00 36.9890069417 -35 56 02.882958172|255.1541208622572 -35.9341341550479|     ~| 7.110| 5.934|     ~|     ~|K2IIICNII            |  18 |   0
14706|* tet Hyi                          |** |03 02 15.4492873366 -71 54 08.838187640|045.5643720305693 -71.9024550521221|     ~| 5.365| 5.499|     ~|     ~|B8III/IV             |  89 |   0
14707|HD 10052                           |V* |01 36 44.7887604524 -58 16 15.545886856|024.1866198352184 -58.2709849685711|     ~| 7.779| 6.205|     ~|     ~|M3III                |  20 |   0
14708|HD 110575                          |*  |12 43 26.2640352241 -40 10 40.246975214|190.8594334801006 -40.1778463820040|     ~| 6.683| 6.430|     ~|     ~|A7III                |  25 |   0
14709|HD 133456                          |V* |15 07 56.7622243831 -65 16 31.619567164|226.9865092682631 -65.2754498797679|     ~| 7.639| 6.166|     ~|     ~|K3III                |   9 |   0
14710|* 11 And                           |PM*|23 19 29.8070096220 +48 37 31.161451208|349.8741958734250 +48.6253226253356|     ~| 6.453| 5.440|     ~|     ~|K0III                |  63 |   0
14711|HD 44812                           |*  |06 24 28.0829290291 +13 00 54.158333301|096.1170122042880 +13.0150439814726|     ~| 8.08 | 6.98 |     ~|     ~|G5Ib                 |  26 |   0
14712|HD 223346                          |*  |23 48 49.3667426650 +02 12 51.887196758|357.2056947611042 +02.2144131102105|     ~| 6.910| 6.457|     ~|     ~|F5V                  |  57 |   0
14713|HD 60130                           |*  |07 30 28.5976933258 -50 36 32.297789727|112.6191570555242 -50.6089716082574|     ~| 6.52 | 6.54 |     ~|     ~|A0V                  |   9 |   0
14714|HD 169913                          |V* |18 27 08.8653213909 -08 02 25.472604470|276.7869388391287 -08.0404090567973|     ~| 7.58 | 6.52 |     ~|     ~|K0III                |  11 |   1
14715|HD 56578                           |PM*|07 16 38.3567433542 -23 18 39.414281913|109.1598197639758 -23.3109484116426|     ~| 6.21 | 5.79 |     ~|     ~|A5mA5-A9             |  21 |   0
14716|HD 197169                          |*  |20 41 37.6568665036 +13 48 31.690675799|310.4069036104315 +13.8088029654998|     ~| 6.963| 6.805|     ~|     ~|A2                   |  17 |   0
14717|HD 144585                          |PM*|16 07 03.3698772530 -14 04 16.670613953|241.7640411552210 -14.0712973927647| 7.22 | 6.98 | 6.32 |     ~|     ~|G2V                  | 169 |   0
14718|HD 35281A                          |*  |05 23 18.498 -08 24 55.89              |080.827075 -08.415525              |     ~| 6.045| 6.147| 7.27 |     ~|~                    |   2 |   0
14719|HD 216048                          |PM*|22 49 32.1411568846 +10 28 43.007737252|342.3839214870193 +10.4786132603479|     ~| 6.825| 6.535|     ~|     ~|F0IV-V               |  41 |   0
14720|* ome02 Aqr                        |PM*|23 42 43.3447268 -14 32 41.652314      |355.6806030283 -14.5449034206      |     ~| 4.448| 4.484|     ~|     ~|B9V                  | 134 |   0
14721|* del Nor                          |*  |16 06 29.4634642900 -45 10 23.665968742|241.6227644345415 -45.1732405468729|     ~| 4.951| 4.713|     ~|     ~|kA3hA7mF0III:        |  73 |   0
14722|HD 99854                           |*  |11 28 55.5880902797 -43 28 45.306144002|172.2316170428322 -43.4792517066673|     ~| 8.21 | 6.94 |     ~|     ~|K1III                |   8 |   0
14723|NGC 2669                           |OpC|08 46 26.6 -52 55 52                   |131.6110 -52.9310                  |     ~| 6.35 | 6.1  |     ~|     ~|~                    |  55 |   0
14724|HD 44497                           |PM*|06 22 36.3922018236 +12 34 12.857248243|095.6516341742652 +12.5702381245119| 6.350| 6.300| 6.000|     ~|     ~|F0III                |  40 |   0
14725|HD 115967                          |** |13 22 52.5873025 -72 08 48.164832      |200.7191137604 -72.1467124533      |     ~| 6.098| 6.051|     ~|     ~|B5V                  |  42 |   1
14726|* 7 Ari                            |V* |01 55 51.0390516337 +23 34 38.350878583|028.9626627151403 +23.5773196884954|     ~| 6.938| 5.749|     ~|     ~|G8III                |  42 |   0
14727|HD 121474                          |PM*|13 57 38.8818149780 -63 41 12.106880536|209.4120075624085 -63.6866963557044|     ~| 5.802| 4.701|     ~|     ~|K1.5IIIb:            |  47 |   0
14728|V* KL CMa                          |EB*|06 30 29.7859470036 -14 57 15.710272425|097.6241081125150 -14.9543639645626|     ~| 6.76 | 6.77 |     ~|     ~|B8V                  |  27 |   0
14729|HD 215638                          |PM*|22 46 28.6265667482 +07 34 58.552890628|341.6192773614510 +07.5829313585079|     ~| 7.34 | 6.90 |     ~|     ~|F2                   |  16 |   0
14730|* eta Eri                          |PM*|02 56 25.6494839 -08 53 53.322099      |044.1068728496 -08.8981450275      | 5.97 | 4.99 | 3.87 | 3.08 | 2.50 |K1+IIIb              | 183 |   0
14731|HD 12468                           |PM*|02 04 39.9311365355 +65 06 12.603538868|031.1663797355646 +65.1035009830190| 6.480| 6.510| 6.520|     ~|     ~|A0V                  |  37 |   0
14732|* 15 Lyn                           |** |06 57 16.6052608 +58 25 21.940435      |104.3191885867 +58.4227612319      | 5.71 | 5.20 | 4.35 | 3.70 | 3.26 |G5III-IV             | 115 |   0
14733|HD 84914                           |*  |09 49 28.4524522549 +36 44 50.595212944|147.3685518843953 +36.7473875591511|     ~| 8.207| 6.609|     ~|     ~|K5                   |  14 |   0
14734|HD 210441                          |*  |22 11 27.1757581269 -43 50 33.108492786|332.8632323255287 -43.8425301368850|     ~| 7.602| 6.607|     ~|     ~|G8/K0III             |  13 |   0
14735|HD 37439                           |*  |05 39 27.1164229566 +21 45 46.631009901|084.8629850956526 +21.7629530583059| 6.540| 6.500| 6.430|     ~|     ~|A1Vn                 |  25 |   0
14736|HD 7097                            |PM*|01 10 15.5726328814 -56 51 46.668541270|017.5648859703392 -56.8629634836861|     ~| 7.28 | 6.98 |     ~|     ~|F0IV                 |  24 |   0
14737|HD 195053                          |*  |20 28 20.8542333787 +20 06 46.328697438|307.0868926390779 +20.1128690826216|     ~| 6.89 | 6.87 |     ~|     ~|A0                   |  10 |   0
14738|* 39 Ser                           |SB*|15 53 12.0969759597 +13 11 47.842699872|238.3004040664987 +13.1966229721867| 6.72 | 6.71 | 6.12 | 5.58 | 5.23 |G1VFe-1              | 186 |   0
14739|* 4 Aql                            |Be*|18 44 49.9381980 +02 03 36.136039      |281.2080758250 +02.0600377886      |     ~| 4.948| 5.005|     ~|     ~|B9V                  |  94 |   0
14740|HD 107947                          |*  |12 24 51.9182757800 -72 36 14.032224551|186.2163261490833 -72.6038978401530|     ~| 6.606| 6.603|     ~|     ~|A0V                  |  35 |   0
14741|HD 134963                          |V* |15 12 04.0460151296 +22 18 48.346939569|228.0168583963734 +22.3134297054358|     ~| 8.206| 6.627|     ~|     ~|M3                   |  16 |   0
14742|HD 50806                           |PM*|06 53 33.9426033431 -28 32 23.255947738|103.3914275139295 -28.5397933188162|     ~| 6.75 | 6.04 |     ~|     ~|G5V                  | 137 |   0
14743|HD 6                               |PM*|00 05 03.8233888558 -00 30 10.930558761|001.2659307868990 -00.5030362663224|     ~| 7.390| 6.298|     ~|     ~|K0III                |  45 |   0
14744|HD 186155                          |PM*|19 40 50.1841239 +45 31 29.787129      |295.2091005163 +45.5249408692      |     ~| 5.468| 5.056|     ~|     ~|F5II-III             |  74 |   0
14745|HD 216149                          |*  |22 51 02.1592317599 -39 09 24.607417936|342.7589967989997 -39.1568353938711|     ~| 6.851| 5.400|     ~|     ~|K3III                |  54 |   0
14746|V* V372 Car                        |bC*|07 52 29.7414511875 -54 22 01.789798972|118.1239227132812 -54.3671638330477| 4.64 | 5.529| 5.680|     ~|     ~|B2IV                 |  73 |   0
14747|HD 145110                          |*  |16 11 57.9230372302 -54 21 10.563090427|242.9913459884591 -54.3529341917852| 6.43 | 6.55 | 6.53 |     ~|     ~|B9IV                 |  13 |   0
14748|* 8 LMi                            |PM*|09 31 32.4104382093 +35 06 11.779263110|142.8850434925386 +35.1032720175305| 8.71 | 6.90 | 5.37 |     ~|     ~|M1III                |  34 |   0
14749|V* LV Dra                          |a2*|19 00 13.6785216947 +50 32 00.465048161|285.0569938403945 +50.5334625133781| 4.42 | 5.202| 5.377|     ~|     ~|B2.5IV               |  99 |   0
14750|* i Ori A                          |PM*|05 07 52.885533 +08 29 54.36326        |076.970356387 +08.498434239        |     ~| 6.03 | 5.72 |     ~|     ~|~                    |   9 |   0
14751|* omi Tau                          |SB*|03 24 48.7914590778 +09 01 43.994132248|051.2032977461575 +09.0288872589578| 5.090| 4.490| 3.600| 2.92 | 2.47 |G6III                | 220 |   0
14752|* 18 Del                           |PM*|20 58 25.9336470966 +10 50 21.426095258|314.6080568629025 +10.8392850264606|     ~| 6.432| 5.506|     ~|     ~|G6III                |  81 |   1
14753|HD 105822                          |*  |12 11 01.2158745603 -68 15 39.499910636|182.7550661440014 -68.2609721973989|     ~| 7.84 | 6.48 |     ~|     ~|K0/1III              |  11 |   0
14754|HD 30825                           |PM*|04 52 10.5497475688 +31 09 51.009379976|073.0439572815366 +31.1641692722156|     ~| 7.60 | 6.72 |     ~|     ~|G5                   |  35 |   0
14755|HD 209855                          |PM*|22 10 42.4288458720 -75 52 53.159092559|332.6767868578000 -75.8814330812663|     ~| 7.733| 6.526|     ~|     ~|K2IIICNII            |   9 |   0
14756|HD 195274                          |*  |20 29 55.2921235512 +10 18 07.485433887|307.4803838481298 +10.3020792871908|     ~| 7.83 | 6.76 |     ~|     ~|K0                   |   9 |   0
14757|HD 148711                          |*  |16 29 51.1167404314 +05 58 14.960840851|247.4629864184640 +05.9708224557919|     ~| 7.337| 6.905|     ~|     ~|F5                   |  25 |   0
14758|HD 202128                          |** |21 13 28.7868633136 +15 58 56.626161212|318.3699452638068 +15.9823961558922|     ~| 6.496| 6.252|     ~|     ~|A7Vn                 | 103 |   0
14759|HD 1952                            |*  |00 24 05.2646911290 +44 15 53.042045786|006.0219362130374 +44.2647339016073|     ~| 7.071| 6.655|     ~|     ~|F2                   |  40 |   0
14760|HD 57917                           |*  |07 20 38.8057326567 -52 05 09.318738429|110.1616905527364 -52.0859218717858|     ~| 5.293| 5.367|     ~|     ~|B9II/III             |  27 |   0
14761|HD 133994                          |*  |15 03 57.7672146611 +65 55 10.968684305|225.9906967277548 +65.9197135234181| 6.350| 6.280| 6.230|     ~|     ~|A2Vs                 |  23 |   0
14762|* h Car                            |*  |09 34 26.6508147 -59 13 47.107031      |143.6110450612 -59.2297519531      | 3.58 | 4.09 | 4.09 | 4.00 | 4.01 |B5II                 |  72 |   0
14763|* pi.01 Boo                        |*  |14 40 43.5583584090 +16 25 05.960136146|220.1814931600374 +16.4183222600405| 4.18 | 4.792| 4.893| 4.47 | 4.49 |B9IIIpHgMnSi         | 195 |   0
14764|HD 211800                          |*  |22 19 23.7083946888 +15 32 44.749452801|334.8487849778701 +15.5457637368893|10.560| 8.570| 6.910|     ~|     ~|K2III                |  17 |   0
14765|* e Tau                            |V* |03 48 16.2652935060 +11 08 35.885447327|057.0677720562748 +11.1433015131464| 4.34 | 4.94 | 5.07 |     ~|     ~|B3V                  | 121 |   0
14766|HD 196430                          |PM*|20 38 04.8915802279 -24 13 44.017641376|309.5203815842829 -24.2288937892712|     ~| 7.07 | 6.88 |     ~|     ~|A7V                  |   8 |   0
14767|HD 223229                          |V* |23 47 33.04940 +46 49 57.2178          |356.88770583 +46.83256050          | 5.25 | 5.996| 6.134|     ~|     ~|B3IV                 |  56 |   1
14768|HD 219110                          |*  |23 13 03.9859265262 +29 26 29.490991539|348.2666080271925 +29.4415252754276|     ~| 7.266| 6.331|     ~|     ~|G8III                |  13 |   0
14769|GSPC S 64-A                        |*  |12 01 44.6 -69 11 54                   |180.4358 -69.1983                  |     ~| 8.23 | 6.93 |     ~|     ~|~                    |   1 |   0
14770|HD 130767                          |*  |14 49 28.7082515018 +19 30 37.313424431|222.3696177145909 +19.5103648401198|     ~| 6.94 | 6.90 |     ~| 6.85 |A0Va_lB              |  29 |   0
14771|HD 202774                          |*  |21 19 03.1191305510 -32 21 22.077379826|319.7629963772956 -32.3561326055072|     ~| 8.39 | 6.94 |     ~|     ~|K3III                |   5 |   0
14772|HD 207627                          |PM*|21 50 35.4567253972 -08 58 57.187018042|327.6477363558215 -08.9825519494560|     ~| 7.83 | 6.54 |     ~|     ~|K3III                |   6 |   0
14773|HD 60555                           |*  |07 33 52.3644559775 -28 34 03.709820970|113.4681852332397 -28.5676971724917|     ~| 7.06 | 6.76 |     ~|     ~|A5/7V+(F)            |  26 |   0
14774|HD 137763                          |SB*|15 28 09.6181427563 -09 20 52.759792118|232.0400755948180 -09.3479888311439| 8.163| 7.704| 6.883| 6.425| 6.009|G9V                  | 132 |   0
14775|HD 33618                           |*  |05 15 11.4021289930 +59 24 20.476926685|078.7975088708040 +59.4056880351904|     ~| 7.333| 6.135|     ~|     ~|K2III-IV             |  38 |   0
14776|HD 32296                           |PM*|05 04 16.1895892841 +45 46 45.669582877|076.0674566220169 +45.7793526619104|     ~| 6.73 | 6.51 |     ~|     ~|A2                   |  19 |   0
14777|V* GG Lib                          |LP?|15 32 15.1446949658 -23 52 48.634630514|233.0631028956910 -23.8801762862538|     ~| 8.36 | 6.87 |     ~|     ~|M4III                |  28 |   0
14778|* sig02 UMa                        |** |09 10 23.54597 +67 08 02.4642          |137.59810823 +67.13401784          |     ~| 5.29 | 4.80 |     ~|     ~|F7V                  | 161 |   0
14779|HD 24296                           |*  |03 58 02.6841616250 +72 43 28.468909543|059.5111840067710 +72.7245746970952|     ~| 7.90 | 6.62 |     ~|     ~|K0                   |   9 |   0
14780|HD 73257                           |PM*|08 36 21.6703276073 -32 15 42.770214905|129.0902930316971 -32.2618806152514|     ~| 7.77 | 6.68 |     ~|     ~|K1III                |   8 |   0
14781|HD 183362                          |Be*|19 27 36.3963023383 +37 56 28.304133698|291.9016512597428 +37.9411955926938| 5.46 | 6.20 | 6.34 |     ~|     ~|B3Ve                 | 106 |   0
14782|* bet01 Cap                        |SB*|20 21 00.6482842761 -14 46 53.378600257|305.2527011844837 -14.7814940556269| 4.14 | 3.87 | 3.08 | 2.53 | 2.03 |G9II:+B8p:Si:        | 173 |   0
14783|HD 64172                           |PM*|07 51 49.1944272405 -20 43 14.318470677|117.9549767801686 -20.7206440196324|     ~| 7.17 | 6.78 |     ~|     ~|F3V                  |  24 |   0
14784|HD 210889                          |PM*|22 12 47.8241488650 +34 36 16.524336498|333.1992672869375 +34.6045900934716|     ~| 6.482| 5.343|     ~|     ~|K2-IIIb              |  65 |   0
14785|HD 212320                          |*  |22 23 32.1522053137 -07 11 39.893279947|335.8839675221404 -07.1944147999852|     ~| 6.913| 5.907|     ~|     ~|G8Ib/II(w)           |  63 |   0
14786|HD 91889                           |PM*|10 36 32.3819362122 -12 13 48.440040258|159.1349247342176 -12.2301222334051|     ~| 6.22 | 5.70 |     ~|     ~|F8V                  | 169 |   0
14787|* 7 Sgr                            |*  |18 02 51.0983721943 -24 16 56.874815270|270.7129098841431 -24.2824652264639|     ~| 5.86 | 5.34 |     ~|     ~|F2II-III             |  69 |   0
14788|V* TT Aql                          |cC*|19 08 13.7497120770 +01 17 55.146226298|287.0572904669876 +01.2986517295272| 8.96 | 7.86 | 6.50 |     ~| 5.699|G0/2Ib               | 270 |   0
14789|* e Pup                            |*  |07 38 43.8960933693 -36 29 48.587438127|114.6829003890389 -36.4968298439241| 4.94 | 5.64 | 5.80 |     ~|     ~|B3III                |  62 |   0
14790|NGC 654                            |OpC|01 44 01.9 +61 52 59                   |026.0080 +61.8830                  |     ~| 7.34 | 6.5  |     ~|     ~|~                    | 182 |   0
14791|HD 209761                          |*  |22 05 11.3342107421 +26 40 25.280546461|331.2972258780919 +26.6736890406836|     ~| 7.016| 5.744|     ~|     ~|K3III                |  38 |   0
14792|* mu.02 Pav                        |PM*|20 01 52.4616401635 -66 56 38.273479931|300.4685901673478 -66.9439648555363|     ~| 6.546| 5.331|     ~|     ~|K2IVCNII             |  30 |   0
14793|HD 81896                           |*  |09 24 37.0837996927 -70 04 32.813219624|141.1545158320528 -70.0757814498955|     ~| 7.73 | 6.45 |     ~|     ~|K1III                |   9 |   0
14794|HD 159736                          |*  |17 35 50.7832198678 +12 02 49.008171156|263.9615967494491 +12.0469467142100|10.340| 8.400| 6.770|     ~|     ~|K5                   |  13 |   0
14795|HD 187284                          |*  |19 48 53.3391561834 +11 41 06.377177463|297.2222464840977 +11.6851047715175| 8.080| 7.430| 6.520|     ~|     ~|K0                   |   8 |   0
14796|V* V2502 Oph                       |gD*|18 17 04.8405513469 +01 00 20.626289799|274.2701689639453 +01.0057295249442|     ~| 6.91 | 6.61 |     ~|     ~|F2V                  | 100 |   0
14797|HD 67698                           |Be*|08 08 19.3583208181 -23 37 04.034660837|122.0806596700755 -23.6177874057880| 6.02 | 6.45 | 6.53 |     ~|     ~|B3Ve                 |  32 |   1
14798|CD-61 3926                         |** |13 41 26.0692153068 -61 52 04.646899161|205.3586217304450 -61.8679574719891| 6.74 | 7.07 | 6.80 |     ~|     ~|K2/3III+B8/A0V       |  16 |   0
14799|* mu.02 Gru                        |*  |22 16 26.5479041206 -41 37 37.826643749|334.1106162671690 -41.6271740677081|     ~| 6.036| 5.117|     ~|     ~|G8III                |  21 |   0
14800|HD 102928                          |SB*|11 51 02.2268716968 -05 19 59.999570855|177.7592786320699 -05.3333332141263|     ~| 6.676| 5.622|     ~|     ~|K0+IIIb:             |  92 |   0
14801|* 65 UMa A                         |EB*|11 55 05.7276516725 +46 28 36.955651729|178.7738652153019 +46.4769321254804|     ~| 6.76 | 6.67 |     ~|     ~|hA5VkA2mA3           |  88 |   0
14802|* zet Ari                          |PM*|03 14 54.0914129194 +21 02 39.995191184|048.7253808871641 +21.0444431086621|     ~| 4.858| 4.869|     ~|     ~|A1V                  |  87 |   0
14803|HD 162299                          |*  |17 47 59.3690462665 +47 35 01.914883935|266.9973710261103 +47.5838652455376|     ~| 7.86 | 6.81 |     ~|     ~|K0                   |  13 |   0
14804|HD 40105                           |PM*|05 54 10.8134085143 -50 21 45.181145969|088.5450558688097 -50.3625503183248|     ~| 7.42 | 6.52 |     ~|     ~|K1IV-V               |  73 |   0
14805|HD 61887                           |V* |07 41 35.1550150423 +03 37 29.206391633|115.3964792293427 +03.6247795532314|     ~| 5.905| 5.942|     ~|     ~|B9.5IV/V             |  42 |   0
14806|HD 25230                           |PM*|04 01 06.9799183397 +20 11 56.972997514|060.2790829930821 +20.1991591659762|     ~| 7.82 | 6.77 |     ~|     ~|K1III                |  16 |   0
14807|HD 97125                           |PM*|11 11 31.2943300565 +54 08 57.805939388|167.8803930419020 +54.1493905387190|     ~| 6.88 | 6.67 |     ~|     ~|A5                   |  11 |   0
14808|HD 67456                           |*  |08 07 18.0402178369 -20 33 15.636555841|121.8251675743206 -20.5543434877336|     ~| 5.423| 5.338|     ~|     ~|A3Ib/II              |  59 |   0
14809|HD 186377                          |*  |19 42 44.6060498220 +32 25 36.269785266|295.6858585409251 +32.4267416070184|     ~| 6.030| 5.925|     ~|     ~|A5III                |  40 |   0
14810|HD 67921                           |*  |08 09 06.65894 -30 19 22.2968          |122.27774560 -30.32286023          |     ~| 8.063| 6.653|     ~|     ~|K3III                |  15 |   1
14811|* 3 Crv                            |PM*|12 11 03.8398744643 -23 36 08.722132312|182.7659994769344 -23.6024228145312|     ~| 5.52 | 5.47 |     ~|     ~|A1V                  |  53 |   0
14812|* f Gem                            |** |07 39 28.5933520383 +17 40 28.271662888|114.8691389668261 +17.6745199063579| 8.53 | 6.61 | 5.05 |     ~|     ~|K5.5III              |  78 |   0
14813|HD 201322                          |PM*|21 08 57.4124720385 -05 34 54.752930471|317.2392186334938 -05.5818758140197|     ~| 7.76 | 6.57 |     ~|     ~|K0III                |   6 |   0
14814|HD 1133                            |*  |00 15 38.6237728217 +05 50 37.910161373|003.9109323867570 +05.8438639337146|     ~| 8.13 | 6.97 |     ~|     ~|K0                   |  10 |   0
14815|* bet Tau                          |PM*|05 26 17.51312 +28 36 26.8262          |081.57297133 +28.60745172          | 1.03 | 1.52 | 1.65 | 1.66 | 1.76 |B7III                | 355 |   1
14816|HD 8001                            |V* |01 18 44.1667134499 -43 19 58.503662776|019.6840279727080 -43.3329176841044|     ~| 8.264| 6.757|     ~|     ~|K3III                |  21 |   0
14817|HD 104307                          |*  |12 00 42.2218275062 -21 50 14.996162765|180.1759242812760 -21.8374989341015|     ~| 7.491| 6.255|     ~|     ~|K2III                |  35 |   0
14818|HD 157515                          |RG*|17 25 13.4569113801 -34 25 47.869932403|261.3060704640839 -34.4299638701118|     ~| 7.761| 6.791|     ~|     ~|K0/1III              |  13 |   0
14819|HD 139206                          |V* |15 38 41.5895364813 -45 42 31.556705302|234.6732897353389 -45.7087657514727|     ~| 6.879| 6.968|     ~|     ~|B5V                  |  16 |   0
14820|HD 40964                           |** |06 02 17.1062791023 +01 41 38.597797220|090.5712761629261 +01.6940549436723|     ~| 6.527| 6.561|     ~|     ~|B8V                  |  38 |   0
14821|HD 208801                          |PM*|21 58 54.9849189299 -04 22 23.197366858|329.7291038288747 -04.3731103796829|     ~| 7.22 | 6.22 |     ~|     ~|G8/K0III             |  85 |   0
14822|HD 146084                          |*  |16 14 13.6067805197 +05 54 06.652164678|243.5566949188319 +05.9018478235218|     ~| 7.456| 6.289|     ~|     ~|K2III                |  27 |   0
14823|HD 24456                           |*  |03 53 30.2287425010 +02 07 08.890777102|058.3759530937540 +02.1191363269729|     ~| 6.67 | 6.72 |     ~|     ~|B9V                  |  18 |   0
14824|HD 88419                           |PM*|10 11 19.0721370954 -18 57 25.766435494|152.8294672378973 -18.9571573431927|     ~| 8.29 | 6.78 |     ~|     ~|M3III                |  20 |   0
14825|V* S Scl                           |Mi*|00 15 22.2668636998 -32 02 42.963790849|003.8427785987490 -32.0452677196803|     ~| 9.98 | 6.20 |     ~|     ~|M7/8IIIe             | 134 |   0
14826|HD 52778                           |*  |07 01 39.6022446303 -23 30 05.147419681|105.4150093526263 -23.5014298388002|     ~| 8.31 | 6.71 |     ~|     ~|K5III                |  10 |   0
14827|V* UU Lep                          |RS*|05 14 30.5671706966 -26 12 31.269413925|078.6273632112359 -26.2086859483125|     ~| 8.05 | 6.94 |     ~|     ~|K2III/IV             |  38 |   0
14828|* psi03 Aur                        |*  |06 38 49.1806738580 +39 54 09.217026418|099.7049194744083 +39.9025602851161| 4.78 | 5.254| 5.331|     ~|     ~|B8III                |  45 |   0
14829|HD 27660                           |*  |04 21 37.5042487413 -06 17 02.988296317|065.4062677030886 -06.2841634156436|     ~| 6.486| 6.429|     ~|     ~|A1IV                 |  16 |   0
14830|HD 39875                           |V* |05 52 24.5297591636 -52 03 18.784262994|088.1022073298484 -52.0552178508317|     ~| 8.41 | 6.81 |     ~|     ~|M1III                |  11 |   0
