C.D.S.  -  SIMBAD4 rel 1.7  -  2021.12.13CET23:28:52

Vmag < 7
--------

Number of objects : 15714

  #  |            identifier             |typ|       coord1 (ICRS,J2000/2000)        |     coord2 (ICRS,J2000/2000)      |Mag U |Mag B |Mag V |Mag R |Mag I |     spec. type      |#bib |#not
-----|-----------------------------------|---|---------------------------------------|-----------------------------------|------|------|------|------|------|---------------------|-----|----
65   |HD 159870                          |** |17 33 31.6096216061 +57 33 31.374968866|263.3817067566923 +57.5587152691295| 9.100| 7.990| 6.860|     ~|     ~|G7III-+Am:           |  62 |   0
66   |HD 88759                           |*  |10 16 03.1064806694 +60 09 02.213837732|154.0129436694557 +60.1506149549255|     ~| 7.17 | 6.76 |     ~|     ~|F2                   |  23 |   0
67   |HD 177696                          |*  |19 02 05.0005679882 +60 07 42.481386364|285.5208356999509 +60.1284670517679|     ~| 8.44 | 6.85 |     ~|     ~|K5                   |   7 |   0
68   |HD 55879                           |*  |07 14 28.2530122374 -10 18 58.483790697|108.6177208843224 -10.3162454974158| 4.88 | 5.85 | 6.03 | 7.35 |     ~|O9.7III              | 159 |   0
69   |HD 99459                           |*  |11 26 34.0239706299 -21 21 23.404087171|171.6417665442914 -21.3565011353254| 6.790| 6.930| 6.880|     ~|     ~|A0V                  |  17 |   0
70   |HD 175535                          |SB*|18 53 13.5547782565 +50 42 29.784513125|283.3064782427355 +50.7082734758681|     ~| 5.82 | 4.92 |     ~|     ~|G7IIIaFe-1           |  80 |   0
71   |HD 44234                           |*  |06 21 25.9186589734 +17 45 48.455558791|095.3579944123892 +17.7634598774419| 8.280| 7.380| 6.280|     ~|     ~|G9:III:              |  23 |   0
72   |* 7 Aqr                            |*  |20 56 54.0262588970 -09 41 51.160983576|314.2251094120709 -09.6975447176600|     ~| 6.97 | 5.48 |     ~|     ~|K4III                |  40 |   0
73   |Cl Collinder 240                   |OpC|11 11 40.00 -60 18 35.0                |167.91667 -60.30972                |     ~| 4.23 | 3.9  |     ~|     ~|~                    |  25 |   0
74   |V* V973 Cyg                        |LP*|19 44 49.0394103223 +40 43 00.487861940|296.2043308763427 +40.7168021838722| 9.90 | 7.99 | 6.37 | 4.78 |     ~|M3.5III              |  66 |   0
75   |HD 89221                           |PM*|10 18 32.8150638178 +43 02 54.399256013|154.6367294325740 +43.0484442377814| 8.110| 7.430| 6.530|     ~|     ~|G5                   |  19 |   0
76   |HD 103975                          |PM*|11 58 15.6077946623 -47 58 37.555840710|179.5650324777597 -47.9770988446416|     ~| 7.276| 6.760|     ~|     ~|F8.5VFe-0.5          |  41 |   0
77   |* alf Dor                          |a2*|04 33 59.77719 -55 02 41.9243          |068.49907161 -55.04497896          | 2.83 | 3.18 | 3.28 | 3.29 | 3.38 |B8IIIpSi             | 140 |   0
78   |HD 72227                           |V* |08 30 28.6112243114 -32 09 33.409370656|127.6192134346307 -32.1592803807379|     ~| 7.105| 5.588|     ~|     ~|K3III                |  16 |   0
79   |HD 13522                           |*  |02 12 37.5405462886 +24 10 04.016596643|033.1564189428690 +24.1677823879563|     ~| 7.340| 5.950|     ~|     ~|K0                   |  14 |   0
80   |* 101 Her                          |*  |18 08 52.8635204306 +20 02 42.838708227|272.2202646684607 +20.0452329745074|     ~| 5.259| 5.099|     ~|     ~|A8III                |  44 |   0
81   |* 14 Psc                           |PM*|23 34 09.0154695867 -01 14 51.215514001|353.5375644566113 -01.2475598650002|     ~| 6.193| 5.870|     ~|     ~|A2II                 |  68 |   0
82   |HD 10307                           |SB*|01 41 47.1431421954 +42 36 48.443521767|025.4464297591477 +42.6134565338241| 5.69 | 5.58 | 4.96 | 4.43 | 4.10 |G1V                  | 477 |   0
83   |HD 63432                           |*  |07 49 57.0201043731 +28 11 55.512823669|117.4875837682213 +28.1987535621303|     ~| 6.844| 6.775|     ~|     ~|A2                   |  11 |   0
84   |HD 108791                          |*  |12 30 42.6541572448 -73 05 19.388960901|187.6777256551866 -73.0887191558058|     ~| 8.073| 6.959|     ~|     ~|G8/K0II              |   9 |   0
85   |HD 94180                           |*  |10 52 13.6936263348 +01 01 29.887929621|163.0570567763949 +01.0249688693392|     ~| 6.449| 6.370|     ~|     ~|A2IV/V               |  30 |   0
86   |* 63 Sgr                           |*  |20 01 58.5993084478 -13 38 13.979036473|300.4941637851993 -13.6372163990202|     ~| 5.753| 5.690|     ~|     ~|A1IV                 |  35 |   0
87   |V* TU Crv                          |dS*|12 35 58.7931329356 -20 31 38.893323980|188.9949713872315 -20.5274703677722|     ~| 6.518| 6.184|     ~|     ~|F0V                  |  60 |   0
